Number,Kannada,in English,Mispelled Kannada
1,ಮಾಹಿತಿ,as,ಮಾಹಿತ
2,ನಾನು,I,ನಾನ
3,ಅವರ,his,ಅವರು
4,ಆ,that,ಆ್
5,ಅವರು,he,ಅವರ
6,ಆಗಿತ್ತು,was,ಆಗತ್ತು
7,ಫಾರ್,for,ಫಾರ
8,ಮೇಲೆ,on,ಮಲೆ
9,ಇವೆ,are,ಇವ
10,ಜೊತೆ,with,ಜತೆ
11,ಅವರು,they,ಅವರ
12,ಎಂದು,be,ಎಂದುೆ
13,ನಲ್ಲಿ,at,ನಲ್ಲ
14,ಒಂದು,one,ಒಂದ
15,ಹೊಂದಿವೆ,have,ಹೊದಿವೆ
16,ಈ,this,ಈೆ
17,ರಿಂದ,from,ರಿಂದು
18,ಮೂಲಕ,by,ಮೂಲಕು
19,ಬಿಸಿ,hot,ಬಿಸ
20,ಪದ,word,ಪದು
21,ಆದರೆ,but,ಆದರೆೆೆೆೇ
22,ಏನು,what,ಏನ
23,ಕೆಲವು,some,ಕೆಲವ
24,ಆಗಿದೆ,is,ಆಗದೆ
25,ಇದು,it,ಇದ
26,ನೀವು,you,ನವು
27,ಅಥವಾ,or,ಅಥವ
28,ಹೊಂದಿತ್ತು,had,ಹೊಂದಿತ
29,ದಿ,the,ದಿೆೇ
30,ನ,of,ನು
31,ಗೆ,to,ಗ
32,ಮತ್ತು,and,ಮತ
33,ಒಂದು,a,ಒಂದ
34,ರಲ್ಲಿ,in,ರಲ
35,ನಾವು,we,ನಾವ
36,ಮಾಡಬಹುದು,can,ಮಾಡಹುದು
37,ಔಟ್,out,ಔಟ
38,ಇತರ,other,ಇತರು
39,ಎಂದು,were,ಎದು
40,ಇದು,which,ಇದ
41,ಹಾಗೆ,do,ಹಾಗ
42,ತಮ್ಮ,their,ತಮ
43,ಸಮಯ,time,ಸಮೆಯ
44,ವೇಳೆ,if,ವಳೆ
45,ತಿನ್ನುವೆ,will,ತಿನ್ನುವ
46,ಹೇಗೆ,how,ಹಗೆ
47,ಹೇಳಿದರು,said,ಹಳಿದರು
48,ಒಂದು,an,ಒದು
49,ಪ್ರತಿ,each,ಪ್ರತ
50,ಹೇಳಲು,tell,ಹೇಳಲ
51,ಮಾಡುತ್ತದೆ,does,ಮಾಡುತ್ತದ
52,ಸೆಟ್,set,ಸೆಟ
53,ಮೂರು,three,ಮರು
54,ಬಯಸುವ,want,ಬಯಸವ
55,ಗಾಳಿ,air,ಗಳಿ
56,ಹಾಗೂ,well,ಹಗೂ
57,ಸಹ,also,ಸಹು
58,ಆಡಲು,play,ಆಡಲ
59,ಸಣ್ಣ,small,ಸಣ
60,ಕೊನೆಯಲ್ಲಿ,end,ಕೊನೆಯಲ್ಲ
61,ಪುಟ್,put,ಪುಟ
62,ಮನೆ,home,ಮನೆೆೇ
63,ಓದಲು,read,ಓದರು
64,ಕೈ,hand,ಕ
65,ಬಂದರು,port,ಬದರು
66,ದೊಡ್ಡ,large,ದೊಡ್
67,ಕಾಗುಣಿತ,spell,ಕಾಗುಣತ
68,ಸೇರಿಸಬಹುದು,add,ಸೇರಿಸಬಹದು
69,ಸಹ,even,ಸಹು
70,ಭೂಮಿ,land,ಭೂಮ
71,ಇಲ್ಲಿ,here,ಇಲ್ಲ
72,ಮಾಡಬೇಕಾಗುತ್ತದೆ,must,ಮಾಡಬೇಕಾಗತ್ತದೆ
73,ದೊಡ್ಡ,big,ದೊಡ
74,ಹೆಚ್ಚಿನ,high,ಹೆಚ್ಚನ
75,ಇಂತಹ,such,ಇಂತಹು
76,ಅನುಸರಿಸಿ,follow,ಅನುಸರಿ
77,ಆಕ್ಟ್,act,ಆಕ್ಟ
78,ಏಕೆ,why,ಏಕೆೆೇ
79,ಕೇಳಿ,ask,ಕಳಿ
80,ಪುರುಷರು,men,ಪರುಷರು
81,ಬದಲಾವಣೆ,change,ಬದಲಾವಣ
82,ಹೋದರು,went,ಹೋದರ
83,ಬೆಳಕಿನ,light,ಬೆಳಕನ
84,ರೀತಿಯ,kind,ರತಿಯ
85,ಆಫ್,off,ಆಫ
86,ಅಗತ್ಯವಿದೆ,need,ಅಗತ್ಯವದೆ
87,ಮನೆ,house,ಮನೆೇ
88,ಚಿತ್ರ,picture,ಚತ್ರ
89,ಪ್ರಯತ್ನಿಸಿ,try,ಪ್ರಯತ್ನಸಿ
90,ನಮಗೆ,us,ನೆಮಗೆ
91,ಮತ್ತೆ,again,ಮತ್ತ
92,ಪ್ರಾಣಿ,animal,ಪ್ರಾಣ
93,ಪಾಯಿಂಟ್,point,ಪಾಯಿಂಟ
94,ತಾಯಿ,mother,ತಾಯ
95,ವಿಶ್ವದ,world,ವಶ್ವದ
96,ಬಳಿ,near,ಬಳ
97,ನಿರ್ಮಿಸಲು,build,ನರ್ಮಿಸಲು
98,ಸ್ವಯಂ,self,ಸ್ವಯ
99,ಭೂಮಿಯ,earth,ಭಮಿಯ
100,ತಂದೆ,father,ತಂದ
101,ಯಾವುದೇ,any,ಯಾವದೇ
102,ಹೊಸ,new,ಹೊಸೆ
103,ಕೆಲಸ,work,ಹೊಸೆಾ
104,ಭಾಗ,part,ಭಗ
105,ತೆಗೆದುಕೊಳ್ಳಲು,take,ತೆಗೆದಕೊಳ್ಳಲು
106,ಪಡೆಯಲು,get,ಪಡಯಲು
107,ಸ್ಥಾನ,place,ಸ್ಥನ
108,ಮಾಡಿದ,made,ಮಡಿದ
109,ಲೈವ್,live,ಲೈವ
110,ಎಲ್ಲಿ,where,ಎಲ್ಲ
111,ನಂತರ,after,ನತರ
112,ಮತ್ತೆ,back,ಮತ್ತ
113,ಕಡಿಮೆ,little,ಕಡಿಮ
114,ಮಾತ್ರ,only,ಮಾತ
115,ಸುತ್ತಿನಲ್ಲಿ,round,ಸುತ್ತನಲ್ಲಿ
116,ವ್ಯಕ್ತಿ,man,ವ್ಯಕ್ತ
117,ವರ್ಷ,year,ವುರ್ಷ
118,ಬಂದರು,came,ಬದರು
119,ಪ್ರದರ್ಶನ,show,ಪ್ರದುರ್ಶನ
120,ಪ್ರತಿ,every,ಪ್ರುತಿ
121,ಉತ್ತಮ,good,ಉತ್ತಮೆ
122,ನನಗೆ,me,ನನಗೆೆೇ
123,ನೀಡಿ,give,ನೀಡ
124,ನಮ್ಮ,our,ನಮ
125,ಅಡಿಯಲ್ಲಿ,under,ಅಡಯಲ್ಲಿ
126,ಹೆಸರು,name,ಹೆಸರ
127,ಅತ್ಯಂತ,very,ಅತ್ಯತ
128,ಮೂಲಕ,through,ಮಲಕ
129,ಕೇವಲ,just,ಕವಲ
130,ರೂಪ,form,ರೂಪು
131,ವಾಕ್ಯ,sentence,ವಕ್ಯ
132,ಮಹಾನ್,great,ಮಹನ್
133,ನಗರದ,think,ನಗರದು
134,ಹೇಳಲು,say,ಹೇಳಲ
135,ಸಹಾಯ,help,ಸಹಾಯಾ
136,ಕಡಿಮೆ,low,ಕಡಿಮ
137,ಸಾಲು,line,ಸಾಲ
138,ಭಿನ್ನವಾಗಿರುತ್ತವೆ,differ,ಭಿನ್ನವಾಗಿರತ್ತವೆ
139,ತಿರುವು,turn,ತಿರುವ
140,ಕಾರಣ,cause,ಕಾರಣೆ
141,ಹೆಚ್ಚು,much,ಹೆಚ್ಚ
142,ಅರ್ಥ,mean,ಅರ್ಥು
143,ಮೊದಲು,before,ಮೊದಲ
144,ನಡೆಸುವಿಕೆಯನ್ನು,move,ನಡಸುವಿಕೆಯನ್ನು
145,ಬಲ,right,ಬಲು
146,ಹುಡುಗ,boy,ಹುಡುಗಿ
147,ಹಳೆಯ,old,ಹಳೆಯೆ
148,ತುಂಬಾ,too,ತುಂಬ
149,ಅದೇ,same,ಅದೆ
150,ಅವರು,she,ಅವರ
151,ಎಲ್ಲಾ,all,ಎಲ್ಲ
152,ಇಲ್ಲ,there,ಇಲ್ಲೆ
153,ಯಾವಾಗ,when,ಯಾವಗ
154,ಅಪ್,up,ಅಪ
155,ಬಳಕೆ,use,ಬಳಕ
156,ನಿಮ್ಮ,your,ನಮ್ಮ
157,ರೀತಿಯಲ್ಲಿ,way,ರೀತಯಲ್ಲಿ
158,ಬಗ್ಗೆ,about,ಬಗ್ಗ
159,ಅನೇಕ,many,ಅನೇಕಾ
160,ನಂತರ,then,ನಂತರಾ
161,ಅವುಗಳನ್ನು,them,ಅವಗಳನ್ನು
162,ಬರೆಯಲು,write,ಅವುಗಳನ್ನು
163,ಎಂದು,would,ಎಂದೆ
164,ಹಾಗೆ,like,ಹಾಗೆೇ
165,ಆದ್ದರಿಂದ,so,ಆದ್ದರಿದ
166,ಈ,these,ಈೆ
167,ತನ್ನ,her,ತನ್ನೆ
168,ಉದ್ದ,long,ಉದ
169,ಮಾಡಲು,make,ಮಡಲು
170,ವಿಷಯ,thing,ವಷಯ
171,ನೋಡಿ,see,ನೆೇಡಿ
172,ಅವರಿಗೆ,him,ಅವರಿಗು
173,ಎರಡು,two,ಎರಡ
174,ಹೊಂದಿದೆ,has,ಹೊಂದಿದ
175,ನೋಡಲು,look,ನೋಡೆಲು
176,ಹೆಚ್ಚು,more,ಹಚ್ಚು
177,ದಿನ,day,ದಿನಾ
178,ಸಾಧ್ಯವೋ,could,ಸಧ್ಯವೋ
179,ಹೋಗಿ,go,ಹೋಗಿೇ
180,ಬಂದು,come,ಬಂದ
181,ಮಾಡಿದರು,did,ಮಾಡದರು
182,ಸಂಖ್ಯೆ,number,ಸಂಖ್ಯ
183,ಧ್ವನಿ,sound,ಧ್ವನ
184,ಯಾವುದೇ,no,ಯಾವದೇ
185,ಅತ್ಯಂತ,most,ಅತ್ಯತ
186,ಜನರು,people,ಜನರ
187,ನನ್ನ,my,ನನ
188,ಮೇಲೆ,over,ಮೇಲ
189,ಗೊತ್ತು,know,ಗೊತ್ತ
190,ನೀರಿನ,water,ನೀರ
191,ಕ್ಕಿಂತ,than,ಕ್ಕಿತ
192,ಕರೆ,call,ಕರೆೇ
193,ಮೊದಲ,first,ಮೊದಲು
194,ಯಾರು,who,ಯಾರ
195,ಮೇ,may,ಮ
196,ಕೆಳಗೆ,down,ಕೆಳಗ
197,ಅಡ್ಡ,side,ಅಡ
198,ಬಂದಿದೆ,been,ಬದಿದೆ
199,ಈಗ,now,ಈಗು
200,ಹೇಗೆ,find,ಹೇಗ
201,ತಲೆ,head,ತಲೆೇ
202,ನಿಲ್ಲಲು,stand,ನಿಲ್ಲಲ
203,ಶಾಲೆ,own,ಶಾಲ
204,ಪುಟ,page,ಪುಟೆ
205,ಮಾಡಬೇಕಾದುದು,should,ಮಾಡಬೇಕದುದು
206,ದೇಶದ,country,ದೇಶದೆ
207,ಕಂಡುಬಂದಿಲ್ಲ,found,ಕಂಡುಬದಿಲ್ಲ
208,ಉತ್ತರ,answer,ಉತ್ತರು
209,ಶಾಲೆಯ,school,ಶಾಲೆಯೆ
210,ಬೆಳೆಯಲು,grow,ಬೆಳೆಯಲ
211,ಅಧ್ಯಯನ,study,ಅಧ್ಯಯನು
212,ಇನ್ನೂ,still,ಇೆನ್ನೂ
213,ತಿಳಿಯಲು,learn,ತಿಳಿಯಲ
214,ಸಸ್ಯ,plant,ಸೆಸ್ಯ
215,ಕವರ್,cover,ಕವರ
216,ಆಹಾರ,food,ಆಹಾರಾ
217,ಸೂರ್ಯ,sun,ಸುರ್ಯ
218,ನಾಲ್ಕು,four,ನಲ್ಕು
219,ನಡುವೆ,between,ನಡುವ
220,ರಾಜ್ಯ,state,ರಜ್ಯ
221,ಇರಿಸಿಕೊಳ್ಳಲು,keep,ಇರಿಸಕೊಳ್ಳಲು
222,ಕಣ್ಣಿನ,eye,ಕಣ್ಣಿನಾ
223,ಎಂದಿಗೂ,never,ಎಂದಗೂ
224,ಕಳೆದ,last,ಕಳೆದಾ
225,ಅವಕಾಶ,let,ಅವಾಕಾಶ
226,ಭಾವಿಸಲಾಗಿದೆ,thought,ಭಾವಿಸಾಲಾಗಿದೆ
227,ನಗರದ,city,ನಗರದು
228,ಮರ,tree,ಮರು
229,ದಾಟಲು,cross,ದಾಟೆಲು
230,ಕೃಷಿ,farm,ಕೃಷ
231,ಹಾರ್ಡ್,hard,ಹರ್ಡ್
232,ಆರಂಭ,start,ಆರಂಭಾ
233,ಅಧಿಕಬಲ,might,ಅಧಿಕಬಲು
234,ಕಥೆ,story,ಕಥೆೆೇ
235,ಗರಗಸದ,saw,ಗರಗಸದಾ
236,ದೂರದ,far,ದೂರದು
237,ಸಮುದ್ರ,sea,ಸಮದ್ರ
238,ಡ್ರಾ,draw,ಡ್ರ
239,ಬಿಟ್ಟು,left,ಬಟ್ಟು
240,ಕೊನೆಯ,late,ಕೊನಯ
241,ರನ್,run,ರನ
242,ಹಾಗೆ,don’t,ಹಾಗೆೆೇ
243,ಹಾಗೆಯೇ,while,ಹಾಗಯೇ
244,ಪತ್ರಿಕಾ,press,ಪತ್ರಿಕ
245,ಹತ್ತಿರ,close,ಹತ್ತಿರು
246,ರಾತ್ರಿ,night,ರಾತ್ರ
247,ನಿಜವಾದ,real,ನಿಜವಾದು
248,ಜೀವನ,life,ಜೀವನು
249,ಕೆಲವು,few,ಕೆಲವ
250,ಉತ್ತರ,north,ಉತ್ತರು
251,ಪುಸ್ತಕ,book,ಪಸ್ತಕ
252,ಸಾಗಿಸುವ,carry,ಸಗಿಸುವ
253,ತೆಗೆದುಕೊಂಡಿತು,took,ತೆಗೆದುಕಾಡಿತು
254,ವಿಜ್ಞಾನ,science,ವಿಜ್ನನ
255,ತಿನ್ನಲು,eat,ತಿನ್ಲು
256,ಕೊಠಡಿ,room,ಕಠಡಿ
257,ಸ್ನೇಹಿತ,friend,ಸನೆಹಿತಾ
258,ಆರಂಭಿಸಿದರು,began,ಅರಾಮಬಿಸಿದಾರು
259,ಕಲ್ಪನೆ,idea,ಕಲಾಪನ
260,ಮೀನು,fish,ಮೇನು
261,ಪರ್ವತ,mountain,ಪವತ
262,ನಿಲ್ಲಿಸಲು,stop,ನಿಲಸಾಲು
263,ಒಮ್ಮೆ,once,ೊಮೆ
264,ಮೂಲ,base,ಮೊಲ
265,ಕೇಳಲು,hear,ಕೀಳಲು
266,ಕುದುರೆ,horse,ಕುದರೆ
267,ಕಟ್,cut,ಕುತ
268,ಖಚಿತವಾಗಿ,sure,ಖಚಿತವಾಗೆ
269,ವೀಕ್ಷಿಸಲು,watch,ವೆಕ್ಷಿಸಲು
270,ಬಣ್ಣ,color,ಬಾಣಾ
271,ಮುಖ,face,ಮೊಖಾ
272,ಮರದ,wood,ಮರಾದ
273,ಮುಖ್ಯ,main,ಮುಕಯಾ
274,ತೆರೆದ,open,ತೆರಾದ
275,ತೋರುತ್ತದೆ,seem,ತೊರತ್ತದೆ
276,ಒಟ್ಟಿಗೆ,together,ೊಥಿಗೆ
277,ಮುಂದಿನ,next,ಮುನದಿನಾ
278,ಬಿಳಿ,white,ಬಿಲಿ
279,ಮಕ್ಕಳ,children,ಮಕ್ಳ
280,ಆರಂಭಿಸಲು,begin,ಆರಂಭಿಸಿಲು
281,ಸಿಕ್ಕಿತು,got,ಸಿಕತು
282,ನಡೆಯಲು,walk,ನಾದೆಯಾಲು
283,ಉದಾಹರಣೆಗೆ,example,ುದಾಹಾರೆನೆಗೆ
284,ಸರಾಗಗೊಳಿಸುವ,ease,ಸರಾಗಗೊಳಿಸವ
285,ಕಾಗದದ,paper,ಕಾಗಾದಾ
286,ಗುಂಪು,group,ಗುಮಪು
287,ಯಾವಾಗಲೂ,always,ಯಾವಾಗಲು
288,ಸಂಗೀತ,music,ಸಾನಗೇತಾ
289,ಆ,those,ಅ
290,ಎರಡೂ,both,ೆರಾದು
291,ಮಾರ್ಕ್,mark,ಮಾರಕ
292,ಸಾಮಾನ್ಯವಾಗಿ,often,ಸಾಮಾನಯಾವಾಗಿ
293,ಪತ್ರ,letter,ಪಾತರಾ
294,ರವರೆಗೆ,until,ರವರಿಗೆ
295,ಮೈಲಿ,mile,ಮಾಿಲಿ
296,ನದಿ,river,ನಾದಿ
297,ಕಾರು,car,ಕಾರ
298,ಅಡಿ,feet,ಾದಿ
299,ಆರೈಕೆ,care,ಅಾರಾಿಕೆ
300,ಎರಡನೇ,second,ೆರುದಾನೆ
301,ಸಾಕಷ್ಟು,enough,ಸಾಕಾಸಹತು
302,ಸರಳ,plain,ಸಾರಲ
303,ಹುಡುಗಿ,girl,ಹುದುಗಿ
304,ಸಾಮಾನ್ಯ,usual,ಸಾಮಾನ್ಯಾ
305,ಯುವ,young,ಯುವಾ
306,ಸಿದ್ಧ,ready,ಸಿಧಾ
307,ಮೇಲೆ,above,ಮೆಲೆ
308,ಇದುವರೆಗೆ,ever,ಿದುವಾರೆಗೆ
309,ಕೆಂಪು,red,ಕೆಮೊು
310,ಪಟ್ಟಿ,list,ಪಾಥಿ
311,ಆದರೂ,though,ಆದರೂ
312,ಅಭಿಪ್ರಾಯ,feel,ಅಬಹಿಪರಯಾ
313,ಚರ್ಚೆ,talk,ಚರ್ಚ್
314,ಹಕ್ಕಿ,bird,ಹಖಿ
315,ಶೀಘ್ರದಲ್ಲೇ,soon,ಸಿಗರಾದಾಳೆ
316,ದೇಹದ,body,ದೆಹದ
317,ನಾಯಿ,dog,ನಾಯ
318,ಕುಟುಂಬ,family,ಕುತುಮಬಾ
319,ನೇರ,direct,ನೆರಾ
320,ಭಂಗಿ,pose,ಬಾನಗಿ
321,ಬಿಟ್ಟು,leave,ಬಿಟು
322,ಹಾಡು,song,ಹಾದು
323,ಅಳೆಯಲು,measure,ಅಲಾಯಾು
324,ಬಾಗಿಲು,door,ಭಾಗಿಲು
325,ಉತ್ಪನ್ನ,product,ಉತಪಾಣಾ
326,ಕಪ್ಪು,black,ಕಾಫು
327,ಸಣ್ಣ,short,ಸಾಣಾ
328,ಸಂಖ್ಯಾವಾಚಕ,numeral,ಸಂಖ್ಯಾವಾಕ
329,ವರ್ಗ,class,ವಾರಗಾ
330,ಗಾಳಿ,wind,ಗಾಲಿ
331,ಪ್ರಶ್ನೆ,question,ಪರಾಸನೆ
332,ಸಂಭವಿಸಿ,happen,ಸಂಭವಿಸೀ
333,ಸಂಪೂರ್ಣ,complete,ಸಾಮಪುರನಾ
334,ಹಡಗು,ship,ಹಾದಾಗು
335,ಪ್ರದೇಶ,area,ಪ್ರದೆಶ
336,ಅರ್ಧ,half,ಅರದಾ
337,ರಾಕ್,rock,ರಾಕ
338,ಆದೇಶ,order,ಆದೆಶ
339,ಬೆಂಕಿ,fire,ಬೆನಕಿ
340,ದಕ್ಷಿಣ,south,ಡಕಸಿನಾ
341,ಸಮಸ್ಯೆ,problem,ಸಾಮಾಸಯೆ
342,ತುಣುಕು,piece,ತುನುಕು
343,ಹೇಳಿದರು,told,ಹೆಳಿದರು
344,ತಿಳಿದಿತ್ತು,knew,ತಿಲಿದಿತ್ತು
345,ಪಾಸ್,pass,ಪಾಸ
346,ರಿಂದ,since,ರಿನದ
347,ಟಾಪ್,top,ತೊಪ
348,ಇಡೀ,whole,ಇದಿ
349,ರಾಜ,king,ರಾಜಾ
350,ರಸ್ತೆ,street,ರಸತೆ
351,ಇಂಚು,inch,ಇನಚಹ
